#{"t_start": 1787334549.554027, "env_id": "None"}
r,l,t
-0.01,1,3.932588
1.97,3,3.933547
3.95,5,3.935374
1.97,3,3.936858
5.93,7,3.939491
13.88,12,3.943951
-0.02,2,3.944881
3.93,7,3.947435
-0.01,1,3.947877
1.97,3,3.948867
1.96,4,3.950479
3.94,6,4.073662
1.95,5,4.078871
-0.03,3,4.07998
-0.02,2,4.080698
-0.01,1,4.081102
-0.02,2,4.081804
-0.01,1,4.082203
-0.01,1,4.08261
1.97,3,4.083633
-0.01,1,4.084035
1.95,5,4.085905
1.95,5,4.087689
-0.01,1,4.088135
3.94,6,4.09052
-0.01,1,4.090987
-0.01,1,4.091398
-0.01,1,4.091924
1.94,6,4.093971
5.93,7,4.096699
1.96,4,4.098502
-0.01,1,4.098991
-0.02,2,4.099738
-0.02,2,4.100467
3.94,6,4.10261
-0.01,1,4.103089
-0.01,1,4.103503
1.96,4,4.105275
5.9,10,4.108711
-0.01,1,4.109269
5.92,8,4.112379
1.96,4,4.115047
3.95,5,4.11773
3.95,5,4.119445
1.94,6,4.12213
-0.01,1,4.122663
1.96,4,4.124068
-0.02,2,4.125254
1.97,3,4.126544
3.94,6,4.255276
3.95,5,4.257041
1.97,3,4.258071
-0.01,1,4.258865
-0.02,2,4.259727
1.97,3,4.263909
1.97,3,4.268554
1.97,3,4.269939
1.97,3,4.271022
1.97,3,4.272111
-0.02,2,4.272846
1.96,4,4.274185
-0.01,1,4.274585
3.94,6,4.277288
3.94,6,4.279845
3.94,6,4.281876
1.96,4,4.283202
-0.01,1,4.283597
3.95,5,4.285277
3.95,5,4.28852
3.94,6,4.291036
-0.01,1,4.291588
3.95,5,4.293415
-0.01,1,4.293855
1.97,3,4.294869
-0.01,1,4.295293
5.91,9,4.298111
1.96,4,4.300305
3.95,5,4.302112
5.91,9,4.305183
1.96,4,4.306506
1.94,6,4.308333
1.97,3,4.309545
1.97,3,4.381521
3.95,5,4.383283
3.95,5,4.384938
1.97,3,4.385921
-0.01,1,4.38631
1.94,6,4.388181
1.97,3,4.389165
1.97,3,4.39042
-0.01,1,4.391103
-0.01,1,4.391598
5.92,8,4.394285
-0.01,1,4.394689
1.97,3,4.395682
1.96,4,4.396978
3.95,5,4.398565
-0.01,1,4.398949
1.95,5,4.40141
1.97,3,4.402594
3.95,5,4.404759
-0.01,1,4.405203
1.97,3,4.406193
3.94,6,4.40809
-0.01,1,4.408475
-0.01,1,4.409186
1.97,3,4.410363
1.95,5,4.412416
-0.02,2,4.413152
-0.02,2,4.413931
-0.01,1,4.41437
5.93,7,4.416639
1.97,3,4.417637
-0.01,1,4.418039
1.97,3,4.41903
-0.01,1,4.41976
3.95,5,4.421902
-0.01,1,4.42231
1.97,3,4.423296
5.93,7,4.425526
13.87,13,4.499956
3.94,6,4.501979
3.93,7,4.504238
1.97,3,4.505287
1.97,3,4.506437
-0.01,1,4.506998
1.97,3,4.509292
13.89,11,4.512815
1.97,3,4.513809
-0.01,1,4.5142
-0.01,1,4.514584
1.97,3,4.515573
-0.03,3,4.516585
-0.01,1,4.516968
1.97,3,4.517947
-0.01,1,4.518336
1.95,5,4.519907
1.97,3,4.5209
1.97,3,4.52189
3.92,8,4.524372
0.97,3,4.525357
1.96,4,4.527195
3.93,7,4.529548
1.97,3,4.530599
3.94,6,4.532508
1.97,3,4.533695
3.95,5,4.536093
-0.01,1,4.536953
-0.01,1,4.537491
-0.01,1,4.538043
-0.01,1,4.5385
-0.01,1,4.538892
1.97,3,4.539896
1.97,3,4.540895
1.97,3,4.541889
5.92,8,4.545017
1.97,3,4.633807
13.91,9,4.636683
1.94,6,4.638526
1.97,3,4.6395
3.94,6,4.641353
1.97,3,4.64258
3.95,5,4.644126
-0.01,1,4.64451
1.96,4,4.645748
5.93,7,4.647861
1.97,3,4.648817
1.97,3,4.649771
5.92,8,4.65325
1.96,4,4.65489
1.96,4,4.656486
-0.01,1,4.657119
3.94,6,4.659221
3.94,6,4.66113
-0.01,1,4.661521
-0.01,1,4.661918
13.88,12,4.666273
-0.02,2,4.666985
1.96,4,4.668325
13.89,11,4.671697
-0.02,2,4.672806
-0.01,1,4.673398
3.93,7,4.675885
1.97,3,4.676879
-0.01,1,4.677267
1.96,4,4.759044
1.96,4,4.760475
1.97,3,4.761492
1.97,3,4.762503
3.94,6,4.764411
-0.01,1,4.764799
0.97,3,4.765787
1.96,4,4.767326
5.88,12,4.771062
1.97,3,4.772051
3.95,5,4.773624
1.97,3,4.774599
-0.02,2,4.77529
1.96,4,4.77764
-0.01,1,4.778193
1.97,3,4.779279
-0.01,1,4.779674
1.97,3,4.780671
1.96,4,4.781941
1.97,3,4.782921
5.91,9,4.785682
1.97,3,4.78669
-0.01,1,4.787072
-0.01,1,4.787798
5.93,7,4.790597
-0.01,1,4.791054
3.95,5,4.792944
-0.02,2,4.793667
-0.01,1,4.79408
13.91,9,4.796863
1.96,4,4.798515
1.97,3,4.799739
1.97,3,4.800763
1.96,4,4.802074
1.96,4,4.803368
1.97,3,4.887225
-0.01,1,4.887691
1.95,5,4.889322
3.91,9,4.892122
1.97,3,4.893121
1.97,3,4.89411
1.97,3,4.895121
-0.01,1,4.89575
-0.01,1,4.896295
-0.02,2,4.897046
1.97,3,4.898078
-0.01,1,4.898471
-0.01,1,4.898964
-0.01,1,4.899524
-0.01,1,4.900155
1.97,3,4.901321
1.97,3,4.902444
1.97,3,4.903471
1.97,3,4.90449
-0.01,1,4.904886
-0.03,3,4.906249
5.93,7,4.90875
-0.01,1,4.909231
13.88,12,4.913101
3.95,5,4.914732
13.9,10,4.917912
-0.01,1,4.918316
-0.01,1,4.918707
-0.01,1,4.919162
-0.01,1,4.919568
3.95,5,4.921338
13.91,9,4.924187
1.97,3,4.925175
5.93,7,4.927607
1.97,3,4.928727
1.96,4,4.930139
-0.01,1,4.930545
-0.01,1,4.930947
5.93,7,5.035159
-0.01,1,5.035642
-0.01,1,5.036042
1.97,3,5.037042
3.94,6,5.039032
-0.01,1,5.039449
-0.01,1,5.039837
1.97,3,5.040823
1.97,3,5.04186
3.94,6,5.044232
-0.01,1,5.044729
3.94,6,5.04668
1.95,5,5.048274
-0.01,1,5.048665
3.95,5,5.050248
3.95,5,5.051834
3.95,5,5.053411
3.94,6,5.055852
3.93,7,5.058312
5.93,7,5.060871
3.95,5,5.06264
13.9,10,5.065876
1.97,3,5.066907
-0.02,2,5.068316
-0.01,1,5.068793
-0.01,1,5.069199
-0.02,2,5.069919
3.95,5,5.071588
5.93,7,5.074466
-0.01,1,5.075077
1.97,3,5.076245
1.96,4,5.077613
3.93,7,5.153857
1.97,3,5.155093
1.97,3,5.156185
3.95,5,5.158006
1.97,3,5.159489
-0.01,1,5.159984
-0.01,1,5.160409
-0.01,1,5.160813
5.92,8,5.163621
1.97,3,5.16467
-0.01,1,5.165084
1.97,3,5.166093
-0.01,1,5.166555
1.96,4,5.168127
1.97,3,5.169153
1.97,3,5.170142
4.93,7,5.172304
3.95,5,5.174112
1.97,3,5.175319
3.95,5,5.177108
1.97,3,5.178138
1.97,3,5.179429
1.96,4,5.18078
3.95,5,5.182376
1.97,3,5.183632
-0.01,1,5.184066
-0.01,1,5.184462
-0.01,1,5.184855
1.97,3,5.185871
3.95,5,5.187807
1.97,3,5.188872
1.97,3,5.189867
-0.01,1,5.190264
1.96,4,5.191535
3.95,5,5.193655
1.97,3,5.194714
-0.01,1,5.195118
5.92,8,5.197741
-0.01,1,5.198178
3.95,5,5.200133
1.97,3,5.302123
-0.01,1,5.302591
1.97,3,5.303577
-0.03,3,5.304559
-0.01,1,5.304936
3.95,5,5.306487
1.97,3,5.307464
-0.01,1,5.307847
-0.01,1,5.30822
1.97,3,5.309171
-0.01,1,5.309544
1.97,3,5.310516
-0.01,1,5.311188
1.96,4,5.312672
-0.01,1,5.313077
1.97,3,5.314077
3.95,5,5.315658
-0.01,1,5.316039
1.97,3,5.31731
1.97,3,5.318386
1.97,3,5.319387
-0.01,1,5.319776
1.97,3,5.320888
1.97,3,5.322059
1.95,5,5.32367
3.95,5,5.3255
3.94,6,5.327511
3.91,9,5.330297
3.94,6,5.332384
3.93,7,5.334843
3.94,6,5.336816
3.94,6,5.338762
13.9,10,5.342121
3.95,5,5.343707
-0.01,1,5.34409
1.96,4,5.345356
3.95,5,5.424188
3.94,6,5.426504
-0.03,3,5.427562
1.96,4,5.42889
-0.01,1,5.429283
1.93,7,5.431454
1.97,3,5.432434
1.97,3,5.433508
-0.01,1,5.433905
-0.01,1,5.434302
-0.01,1,5.434688
1.97,3,5.435666
-0.02,2,5.436348
5.92,8,5.438793
3.94,6,5.440714
1.97,3,5.44196
-0.01,1,5.442478
-0.01,1,5.442907
1.96,4,5.444526
-0.01,1,5.444966
1.97,3,5.445964
-0.01,1,5.446354
1.96,4,5.447638
1.97,3,5.448626
1.97,3,5.449631
1.97,3,5.451001
-0.01,1,5.451481
-0.03,3,5.452486
1.96,4,5.453897
-0.01,1,5.454316
3.95,5,5.455964
5.93,7,5.458249
1.97,3,5.45943
-0.01,1,5.459826
1.97,3,5.46082
3.95,5,5.462396
13.91,9,5.465144
-0.01,1,5.465529
1.97,3,5.466733
1.97,3,5.538103
5.93,7,5.54071
-0.01,1,5.541331
-0.01,1,5.541787
-0.02,2,5.542534
-0.01,1,5.542924
1.97,3,5.54393
1.96,4,5.545227
1.97,3,5.546207
1.97,3,5.547442
1.97,3,5.548532
1.97,3,5.549534
-0.02,2,5.550325
-0.01,1,5.550757
1.97,3,5.551782
-0.01,1,5.552185
1.96,4,5.553488
1.97,3,5.5545
-0.01,1,5.554901
-0.01,1,5.555286
1.97,3,5.556299
3.95,5,5.557905
1.95,5,5.559706
1.96,4,5.561039
3.94,6,5.562927
5.92,8,5.565412
3.95,5,5.567361
-0.01,1,5.567889
3.95,5,5.569659
3.95,5,5.571253
5.92,8,5.573705
-0.01,1,5.574091
1.97,3,5.575073
1.97,3,5.576041
13.9,10,5.579634
1.97,3,5.580635
-0.02,2,5.581313
-0.02,2,5.581989
-0.02,2,5.656147
-0.01,1,5.656655
-0.01,1,5.657081
0.97,3,5.65815
3.95,5,5.659897
1.97,3,5.660907
1.97,3,5.661888
5.92,8,5.664339
1.96,4,5.665624
3.95,5,5.667523
-0.01,1,5.668006
3.95,5,5.669641
-0.01,1,5.670056
-0.01,1,5.670442
-0.02,2,5.671122
-0.01,1,5.671508
-0.03,3,5.672482
-0.01,1,5.672872
-0.03,3,5.673852
-0.01,1,5.674234
1.97,3,5.675211
3.95,5,5.676987
1.97,3,5.67802
1.95,5,5.6796
1.96,4,5.68088
2.94,6,5.682751
1.97,3,5.683735
3.94,6,5.685587
5.93,7,5.687747
-0.01,1,5.68813
3.95,5,5.68969
-0.01,1,5.690072
3.95,5,5.691641
3.94,6,5.693493
3.92,8,5.695948
1.95,5,5.697975
5.92,8,5.765401
3.94,6,5.767316
-0.01,1,5.767711
1.97,3,5.768669
1.97,3,5.769625
3.95,5,5.771173
-0.01,1,5.771555
1.97,3,5.772624
-0.01,1,5.77321
5.92,8,5.775825
1.97,3,5.776825
1.97,3,5.77781
-0.01,1,5.778193
1.97,3,5.779167
1.97,3,5.780299
1.97,3,5.781428
-0.01,1,5.781825
-0.01,1,5.782212
3.95,5,5.784281
1.97,3,5.785326
3.94,6,5.787192
5.93,7,5.789388
-0.01,1,5.789849
5.92,8,5.792852
1.97,3,5.793907
3.94,6,5.795831
1.96,4,5.797134
-0.01,1,5.797532
-0.01,1,5.797922
1.97,3,5.79891
1.94,6,5.800778
3.95,5,5.802357
3.95,5,5.804275
-0.01,1,5.804756
1.97,3,5.805785
5.91,9,5.875281
-0.01,1,5.875773
-0.01,1,5.876197
5.92,8,5.878727
-0.01,1,5.879461
-0.01,1,5.879964
1.97,3,5.881016
2.95,5,5.882706
1.97,3,5.883893
-0.01,1,5.884295
1.95,5,5.885908
-0.01,1,5.886296
5.93,7,5.888454
-0.01,1,5.888834
1.96,4,5.890098
-0.02,2,5.89079
1.96,4,5.89222
3.94,6,5.894175
1.95,5,5.895772
1.97,3,5.896743
3.95,5,5.898306
3.94,6,5.900157
-0.01,1,5.900545
1.97,3,5.901509
-0.01,1,5.901892
3.95,5,5.903459
-0.01,1,5.903841
-0.01,1,5.90421
3.95,5,5.905758
-0.02,2,5.906637
1.97,3,5.907702
3.95,5,5.909275
1.96,4,5.910525
-0.01,1,5.9109
1.97,3,5.911865
1.97,3,5.912822
-0.01,1,5.913192
3.95,5,5.914733
1.96,4,5.915973
1.97,3,5.981943
3.93,7,5.984223
1.96,4,5.985497
1.97,3,5.986697
-0.01,1,5.987138
3.95,5,5.988753
5.92,8,5.991633
1.97,3,5.99271
1.97,3,5.993716
1.97,3,5.994701
-0.01,1,5.995087
5.93,7,5.997265
-0.01,1,5.997649
3.95,5,5.999238
1.97,3,6.000214
1.97,3,6.001433
3.95,5,6.003217
1.96,4,6.004525
-0.01,1,6.004912
1.97,3,6.00591
3.95,5,6.007501
1.94,6,6.009671
3.95,5,6.011502
1.97,3,6.012615
-0.01,1,6.013013
5.93,7,6.015207
13.89,11,6.018811
1.97,3,6.01985
3.95,5,6.021486
3.95,5,6.023098
1.97,3,6.024099
3.95,5,6.099895
1.97,3,6.100978
1.97,3,6.101983
1.97,3,6.102989
-0.01,1,6.103372
-0.01,1,6.103755
3.95,5,6.10533
5.93,7,6.107475
1.97,3,6.108529
1.96,4,6.110151
-0.01,1,6.110557
-0.02,2,6.111259
-0.02,2,6.11195
3.95,5,6.113739
3.95,5,6.115381
1.97,3,6.116374
-0.01,1,6.116767
1.97,3,6.117753
3.95,5,6.119632
13.89,11,6.122982
5.92,8,6.125448
1.97,3,6.126444
5.93,7,6.128765
13.9,10,6.131996
-0.01,1,6.132401
3.9,10,6.135446
1.96,4,6.136708
3.95,5,6.138285
3.95,5,6.140111
