#{"t_start": 1787331164.389289, "env_id": "None"}
r,l,t
3.8,20,47.888879
13.8,20,47.895593
1.87,13,47.900913
1.96,4,47.902412
5.79,21,48.261711
13.81,19,48.269198
3.88,12,48.274022
5.8,20,48.281498
13.75,25,48.291113
3.85,15,48.29629
1.84,16,48.301863
1.96,4,48.304111
3.91,9,48.773061
13.73,27,48.782655
13.73,27,48.792333
3.77,23,48.800506
3.88,12,48.805151
13.78,22,48.813587
3.83,17,49.162374
1.93,7,49.16509
3.91,9,49.16807
1.96,4,49.169428
3.82,18,49.176342
3.87,13,49.181097
3.83,17,49.187824
3.92,8,49.190844
3.85,15,49.196595
3.87,13,49.201517
5.76,24,49.584392
1.96,4,49.585985
13.74,26,49.595343
13.73,27,49.604741
3.88,12,49.609449
1.96,4,49.610852
1.93,7,49.613107
1.96,4,49.615338
3.92,8,49.618196
1.96,4,49.619601
1.94,6,49.621584
3.85,15,49.626945
1.96,4,49.628323
1.93,7,50.059304
1.93,7,50.061898
1.96,4,50.063292
1.88,12,50.06753
1.96,4,50.069512
5.8,20,50.076237
1.96,4,50.077922
5.8,20,50.084571
3.88,12,50.089584
13.71,29,50.099764
1.96,4,50.101259
13.68,32,50.52142
1.96,4,50.523771
2.91,9,50.526939
5.68,32,50.53748
1.93,7,50.53987
5.79,21,50.549634
1.93,7,50.552848
3.77,23,50.566756
3.79,21,51.059161
1.96,4,51.060626
1.96,4,51.062417
1.96,4,51.064213
3.81,19,51.070698
1.96,4,51.072625
13.72,28,51.083085
13.68,32,51.094934
5.79,21,51.612305
13.77,23,51.623119
1.96,4,51.624871
13.72,28,51.637468
13.69,31,51.663867
3.77,23,51.67756
1.96,4,51.679203
3.74,26,52.223933
3.92,8,52.226889
3.92,8,52.231027
5.85,15,52.236302
13.73,27,52.246988
5.85,15,52.251996
13.8,20,52.258787
3.83,17,52.264964
1.91,9,52.667049
1.89,11,52.670749
5.82,18,52.676729
3.88,12,52.68061
1.96,4,52.682018
3.72,28,52.692713
5.67,33,52.703436
13.66,34,53.181426
5.83,17,53.188142
5.85,15,53.193678
1.86,14,53.199062
5.8,20,53.206181
1.88,12,53.210569
1.96,4,53.212008
5.68,32,53.617168
3.91,9,53.620214
1.89,11,53.623756
5.83,17,53.630215
3.85,15,53.635777
1.84,16,53.642003
3.78,22,53.649913
3.92,8,53.652572
3.75,25,53.661538
13.72,28,54.038121
3.87,13,54.042931
3.84,16,54.048273
5.79,21,54.055014
1.87,13,54.059297
1.96,4,54.060662
5.75,25,54.069373
1.96,4,54.07084
13.8,20,54.488075
1.96,4,54.489533
5.73,27,54.499159
1.85,15,54.50434
5.74,26,54.513457
5.59,41,54.934598
13.68,32,54.944932
1.89,11,54.948501
1.86,14,54.952938
13.77,23,54.960201
5.8,20,54.966513
1.96,4,54.967843
3.87,13,54.971997
5.83,17,55.378559
13.65,35,55.391854
5.83,17,55.398213
1.89,11,55.401844
3.92,8,55.404411
5.66,34,55.415735
13.68,32,55.830427
3.84,16,55.836968
3.83,17,55.844016
1.72,28,55.853996
1.89,11,55.858377
1.89,11,55.862097
3.85,15,55.867278
3.74,26,56.280319
1.73,27,56.290105
1.72,28,56.299336
3.72,28,56.309284
3.88,12,56.313251
5.84,16,56.319507
1.96,4,56.321014
1.78,22,56.739809
1.83,17,56.745986
3.66,34,56.75888
13.74,26,56.768149
1.8,20,56.775726
5.73,27,57.167261
13.67,33,57.178476
13.73,27,57.188384
3.54,46,57.203551
3.87,13,57.686593
3.77,23,57.695274
1.86,14,57.700529
13.8,20,57.707222
5.84,16,57.712479
1.96,4,57.713835
3.87,13,57.720057
3.87,13,57.724949
3.79,21,58.087196
3.77,23,58.095234
13.54,46,58.111018
13.77,23,58.118745
13.71,29,58.128749
1.76,24,58.714201
13.74,26,58.725349
1.84,16,58.731784
1.78,22,58.739851
3.85,15,58.744746
3.81,19,58.751398
13.7,30,59.081084
5.78,22,59.090792
1.71,29,59.101218
1.96,4,59.102907
13.79,21,59.109957
3.72,28,59.119415
3.87,13,59.474232
13.68,32,59.485461
13.8,20,59.492526
3.79,21,59.499293
3.87,13,59.50352
5.76,24,59.512152
3.76,24,59.868739
13.55,45,59.883792
1.96,4,59.885648
1.87,13,59.889943
3.78,22,59.897264
5.66,34,60.387638
3.86,14,60.392406
3.74,26,60.401839
3.85,15,60.407025
1.87,13,60.411822
1.96,4,60.413218
1.96,4,60.414757
3.88,12,60.419062
5.73,27,60.428101
3.76,24,60.841744
3.75,25,60.850583
5.46,54,60.868929
1.89,11,60.87257
3.78,22,61.399495
5.14,86,61.429497
3.79,21,61.43685
0.0,100,62.121781
13.6,40,62.136472
3.88,12,62.79531
5.67,33,62.808091
13.79,21,62.814939
1.96,4,62.816295
13.8,20,62.822772
3.9,10,62.826681
5.67,33,62.837379
13.79,21,63.247494
1.87,13,63.252211
3.88,12,63.256163
13.83,17,63.26202
3.87,13,63.266566
13.8,20,63.273718
5.76,24,63.282138
1.86,14,63.642765
1.88,12,63.64682
1.84,16,63.652453
3.86,14,63.656974
3.92,8,63.660004
5.82,18,63.665986
13.8,20,63.673174
1.89,11,63.676731
3.92,8,63.67933
5.82,18,63.685537
3.88,12,64.001283
1.89,11,64.004828
3.87,13,64.00994
1.87,13,64.014267
13.76,24,64.023194
1.96,4,64.024679
1.87,13,64.028877
13.82,18,64.035072
3.86,14,64.039556
