#{"t_start": 1787329158.1368918, "env_id": "None"}
r,l,t
1.97,3,12.208857
-0.01,1,12.209393
5.92,8,12.212146
1.97,3,12.213208
1.97,3,12.214257
5.92,8,12.216866
1.97,3,12.217915
1.97,3,12.218966
5.87,13,12.223131
-0.04,4,12.224473
-0.01,1,12.224881
3.95,5,12.226539
1.97,3,12.22759
1.97,3,12.228626
-0.02,2,12.229348
1.94,6,12.231314
1.97,3,12.232349
1.97,3,12.233376
-0.05,5,12.235015
3.95,5,12.236662
3.91,9,12.239544
1.96,4,12.240889
3.94,6,12.495553
1.97,3,12.496763
3.95,5,12.498461
3.95,5,12.500173
-0.11,11,12.50418
1.97,3,12.50541
3.95,5,12.507136
-0.03,3,12.508199
-0.1,10,12.511436
1.91,9,12.514316
5.92,8,12.516882
-0.02,2,12.517595
1.97,3,12.518616
13.91,9,12.521511
1.97,3,12.522545
-0.03,3,12.523555
1.94,6,12.525493
1.95,5,12.527117
5.93,7,12.52938
1.93,7,12.531615
3.95,5,12.533642
13.91,9,12.537055
1.94,6,12.755517
1.96,4,12.757064
5.93,7,12.75985
1.97,3,12.760969
1.92,8,12.763595
13.91,9,12.767095
1.95,5,12.768898
1.97,3,12.769948
1.95,5,12.771633
3.95,5,12.773281
1.94,6,12.77531
1.96,4,12.776736
3.95,5,12.778419
1.97,3,12.779458
3.92,8,12.782042
3.95,5,12.783877
3.95,5,12.785825
1.95,5,12.787543
3.94,6,12.7896
1.97,3,12.790688
1.95,5,12.792342
3.95,5,12.793994
3.95,5,12.796178
1.97,3,12.797353
13.91,9,12.800341
13.91,9,12.994756
1.97,3,12.995858
-0.02,2,12.996607
3.95,5,12.998332
5.93,7,13.001207
1.97,3,13.002513
1.97,3,13.003616
1.97,3,13.0048
-0.01,1,13.005216
3.94,6,13.007236
1.96,4,13.008758
3.95,5,13.010553
1.97,3,13.011812
1.97,3,13.012892
3.95,5,13.014591
1.96,4,13.015945
5.9,10,13.019211
1.97,3,13.020251
1.96,4,13.021606
-0.02,2,13.022329
3.95,5,13.024006
1.97,3,13.025031
-0.02,2,13.025761
5.93,7,13.028033
3.95,5,13.029687
1.96,4,13.031027
3.95,5,13.03267
3.95,5,13.03432
1.97,3,13.035349
3.95,5,13.251485
1.97,3,13.252762
1.97,3,13.253882
1.97,3,13.255139
1.95,5,13.256907
1.94,6,13.259244
3.95,5,13.261283
5.9,10,13.264677
1.97,3,13.265743
3.95,5,13.267513
-0.03,3,13.268675
1.95,5,13.270388
-0.02,2,13.271128
3.95,5,13.272823
3.95,5,13.274647
1.97,3,13.27592
-0.02,2,13.276701
1.97,3,13.277759
3.94,6,13.279759
3.95,5,13.281412
1.97,3,13.282441
1.97,3,13.28363
5.93,7,13.286601
1.97,3,13.287741
1.96,4,13.289143
3.95,5,13.290794
1.97,3,13.29183
3.95,5,13.293495
3.95,5,13.29555
1.97,3,13.296825
1.94,6,13.5248
3.92,8,13.527528
3.95,5,13.529205
-0.01,1,13.529619
3.95,5,13.531261
3.92,8,13.53383
1.97,3,13.534842
1.95,5,13.536474
3.95,5,13.538102
