#{"t_start": 1787328354.86434, "env_id": "None"}
r,l,t
0.97,3,11.313495
-0.01,1,11.313936
-0.02,2,11.314738
1.96,4,11.316301
-0.02,2,11.31715
-0.02,2,11.317962
-0.01,1,11.318414
-0.01,1,11.318859
-0.01,1,11.319303
0.97,3,11.320458
1.96,4,11.321971
1.93,7,11.678411
-0.01,1,11.678981
-0.01,1,11.679455
1.97,3,11.680647
1.96,4,11.682169
-0.01,1,11.682723
-0.01,1,11.683252
3.94,6,11.686084
-0.01,1,11.686739
-0.01,1,11.687431
4.89,11,11.691695
0.96,4,11.693384
1.96,4,11.694947
1.96,4,11.696469
-0.02,2,11.697537
-0.01,1,11.698058
1.96,4,11.699622
-0.01,1,11.701882
3.94,6,11.704541
1.97,3,11.706077
3.95,5,11.708251
1.97,3,11.710918
-0.01,1,11.711496
2.95,5,11.713443
1.97,3,11.714617
3.93,7,11.717179
1.97,3,11.718339
1.97,3,11.71951
1.97,3,11.721174
3.95,5,11.723155
1.96,4,11.724837
-0.01,1,11.725429
3.94,6,11.727724
13.9,10,11.732088
3.95,5,11.734459
5.92,8,12.113006
-0.01,1,12.11407
1.96,4,12.116656
3.95,5,12.120678
13.91,9,12.124455
-0.01,1,12.125288
-0.03,3,12.126927
-0.01,1,12.127484
1.96,4,12.129162
-0.01,1,12.129698
-0.02,2,12.130574
-0.04,4,12.132179
1.95,5,12.134225
1.97,3,12.135823
1.96,4,12.13752
-0.02,2,12.138479
3.93,7,12.141233
-0.03,3,12.142773
3.95,5,12.144726
-0.02,2,12.145855
1.97,3,12.147199
3.93,7,12.150008
1.96,4,12.151909
1.97,3,12.153147
3.94,6,12.155763
1.94,6,12.158376
1.96,4,12.161776
1.96,4,12.163462
-0.01,1,12.163931
1.92,8,12.16702
-0.02,2,12.167919
1.94,6,12.170184
-0.01,1,12.170659
3.94,6,12.467629
1.97,3,12.468884
3.94,6,12.471091
-0.02,2,12.471886
1.94,6,12.474075
1.95,5,12.478951
-0.01,1,12.479591
-0.01,1,12.480404
1.96,4,12.486361
1.96,4,12.488098
-0.03,3,12.490218
1.97,3,12.492036
-0.01,1,12.492519
5.93,7,12.496576
1.97,3,12.497762
-0.01,1,12.498205
-0.02,2,12.498993
-0.01,1,12.499437
1.96,4,12.500916
-0.01,1,12.501356
1.97,3,12.502761
-0.03,3,12.503954
1.97,3,12.505109
1.95,5,12.50694
5.9,10,12.510481
2.92,8,12.513841
3.94,6,12.516026
-0.01,1,12.516476
0.97,3,12.517607
13.89,11,12.521508
1.97,3,12.52323
-0.01,1,12.523802
3.91,9,12.527186
1.97,3,12.853904
-0.03,3,12.855252
-0.02,2,12.856172
1.97,3,12.858001
-0.01,1,12.858543
1.97,3,12.859771
1.96,4,12.863769
1.97,3,12.86516
1.97,3,12.866402
1.97,3,12.867615
-0.01,1,12.868139
3.94,6,12.872116
3.9,10,12.876408
3.93,7,12.879209
1.97,3,12.880426
1.96,4,12.881948
-0.01,1,12.882406
-0.01,1,12.882845
-0.01,1,12.883288
-0.01,1,12.883729
-0.01,1,12.88451
-0.02,2,12.885591
1.97,3,12.886848
1.97,3,12.888052
5.92,8,12.891069
1.97,3,12.892257
-0.03,3,12.893463
4.93,7,12.896084
1.97,3,12.89749
13.91,9,12.900755
-0.06,6,12.902973
3.95,5,12.904801
-0.01,1,12.905241
-0.02,2,12.906029
1.96,4,12.907801
-0.02,2,12.908709
1.94,6,13.204279
1.95,5,13.206261
5.92,8,13.209245
1.96,4,13.210747
-0.01,1,13.211194
-0.02,2,13.212265
1.95,5,13.214503
3.91,9,13.217867
-0.01,1,13.218333
1.97,3,13.219491
1.96,4,13.221014
3.93,7,13.22359
-0.01,1,13.224036
1.96,4,13.225536
-0.02,2,13.226344
1.96,4,13.227853
3.94,6,13.230041
-0.01,1,13.230491
-0.04,4,13.231996
3.95,5,13.233875
1.96,4,13.235373
1.97,3,13.236518
1.95,5,13.238353
-0.01,1,13.238797
5.92,8,13.241689
5.93,7,13.244243
-0.01,1,13.244692
1.97,3,13.245834
-0.02,2,13.24666
1.97,3,13.247812
3.95,5,13.249662
5.93,7,13.252217
-0.01,1,13.492761
1.97,3,13.495587
1.96,4,13.497273
1.97,3,13.498947
3.94,6,13.501271
1.97,3,13.502674
3.95,5,13.504846
1.97,3,13.506059
-0.01,1,13.50651
-0.01,1,13.506968
1.96,4,13.508515
-0.01,1,13.50898
2.93,7,13.511564
-0.01,1,13.512017
-0.01,1,13.512477
1.96,4,13.514
1.97,3,13.515161
4.91,9,13.518449
