#{"t_start": 1787335010.225128, "env_id": "None"}
r,l,t
5.87,13,8.339875
1.97,3,8.340909
1.95,5,8.342466
3.94,6,8.344287
1.97,3,8.345638
3.94,6,8.347613
1.97,3,8.348658
13.33,67,8.368305
3.95,5,8.36997
1.95,5,8.371495
3.6,40,8.643246
13.87,13,8.64711
1.97,3,8.648053
5.88,12,8.651632
1.97,3,8.652582
1.97,3,8.653527
1.97,3,8.654457
1.94,6,8.656239
1.97,3,8.657266
1.97,3,8.658195
1.97,3,8.659124
5.86,14,8.663135
1.96,4,8.664344
1.97,3,8.665538
1.94,6,8.667432
13.89,11,8.670638
1.97,3,8.671572
3.94,6,8.673535
1.97,3,8.824406
1.97,3,8.825607
1.97,3,8.826602
1.97,3,8.827595
1.97,3,8.828564
1.96,4,8.829788
1.97,3,8.830745
1.97,3,8.831686
5.92,8,8.834054
1.97,3,8.834992
1.96,4,8.836204
1.94,6,8.837981
1.96,4,8.839193
1.94,6,8.84096
5.89,11,8.84413
1.96,4,8.845341
1.97,3,8.846275
1.97,3,8.847212
1.97,3,8.848138
1.97,3,8.849068
1.97,3,8.849992
5.92,8,8.852328
13.91,9,8.854945
1.97,3,8.855886
3.92,8,8.858209
1.97,3,8.859142
3.95,5,8.860628
1.94,6,8.862399
1.97,3,8.947205
5.93,7,8.949495
5.86,14,8.953562
1.97,3,8.954514
3.95,5,8.956056
3.95,5,8.957576
13.84,16,8.962187
3.93,7,8.964259
3.95,5,8.965758
5.93,7,8.967828
1.96,4,8.96906
5.89,11,8.972254
1.97,3,8.973442
3.95,5,8.975074
1.97,3,8.976048
5.91,9,8.978684
3.92,8,8.981026
5.89,11,8.984747
5.89,11,9.089021
1.97,3,9.090075
5.9,10,9.09335
5.92,8,9.095777
5.86,14,9.100063
1.97,3,9.101047
5.88,12,9.104501
1.94,6,9.106264
1.96,4,9.107476
1.97,3,9.108401
5.75,25,9.115375
5.9,10,9.118238
1.97,3,9.11916
3.95,5,9.120638
5.89,11,9.123749
13.88,12,9.255735
5.84,16,9.260861
1.95,5,9.262645
1.97,3,9.263789
1.94,6,9.265737
3.91,9,9.268418
1.93,7,9.270495
1.97,3,9.271449
3.91,9,9.274537
1.97,3,9.275582
3.93,7,9.277722
3.92,8,9.280073
13.9,10,9.283408
5.87,13,9.287217
3.95,5,9.288753
1.94,6,9.290615
5.88,12,9.392264
13.91,9,9.39505
1.97,3,9.395994
1.97,3,9.396925
1.97,3,9.397882
5.93,7,9.39992
3.95,5,9.401411
1.97,3,9.402386
3.92,8,9.404714
3.95,5,9.406204
3.95,5,9.407783
1.97,3,9.408756
1.97,3,9.409712
1.97,3,9.410635
5.74,26,9.417968
1.95,5,9.419438
5.92,8,9.421752
1.97,3,9.422683
1.96,4,9.423873
1.95,5,9.425329
3.92,8,9.427612
1.96,4,9.428815
1.97,3,9.429733
1.97,3,9.602016
1.97,3,9.60312
5.9,10,9.606142
5.55,45,9.620007
3.82,18,9.625433
5.92,8,9.627885
1.94,6,9.629678
3.95,5,9.631181
3.95,5,9.632666
1.97,3,9.633855
1.95,5,9.635477
1.96,4,9.636705
3.94,6,9.638452
5.91,9,9.834234
5.9,10,9.837616
13.91,9,9.84041
1.97,3,9.841431
13.9,10,9.844385
1.97,3,9.84533
1.93,7,9.847346
5.9,10,9.850597
5.59,41,9.863073
13.9,10,9.865977
3.92,8,9.868252
1.96,4,9.869439
1.97,3,9.87035
3.94,6,9.872076
1.95,5,10.061511
3.92,8,10.063966
1.97,3,10.064903
1.97,3,10.065823
1.97,3,10.066747
13.85,15,10.070952
1.97,3,10.071869
1.97,3,10.072783
1.96,4,10.073964
3.95,5,10.075409
3.95,5,10.076862
3.95,5,10.078319
13.88,12,10.081681
1.97,3,10.082588
5.93,7,10.084587
5.87,13,10.088223
1.97,3,10.089137
1.97,3,10.090057
5.88,12,10.093393
3.93,7,10.095369
1.94,6,10.097088
1.97,3,10.192998
5.86,14,10.197188
13.72,28,10.204997
1.95,5,10.206481
1.97,3,10.207479
1.97,3,10.208441
1.97,3,10.209365
1.97,3,10.21029
1.97,3,10.211215
3.8,20,10.217533
1.97,3,10.21877
1.96,4,10.220148
5.89,11,10.223395
1.96,4,10.224945
1.97,3,10.225956
1.97,3,10.226908
1.94,6,10.228869
1.97,3,10.229817
5.87,13,10.393519
3.95,5,10.395119
1.97,3,10.39606
1.97,3,10.396994
5.93,7,10.399019
5.91,9,10.401583
1.97,3,10.402497
5.8,20,10.408031
1.97,3,10.408944
1.97,3,10.40985
3.93,7,10.412218
3.95,5,10.413864
1.97,3,10.414809
5.72,28,10.422945
3.94,6,10.424879
1.96,4,10.426107
1.97,3,10.427032
5.86,14,10.579693
1.96,4,10.581046
1.97,3,10.581996
1.96,4,10.583217
3.95,5,10.584717
3.95,5,10.586201
1.97,3,10.587123
3.36,64,10.606024
5.92,8,10.6088
1.94,6,10.610646
3.95,5,10.612174
1.97,3,10.613126
1.95,5,10.614622
1.97,3,10.615689
5.87,13,10.970446
13.89,11,10.973729
5.74,26,10.981656
1.97,3,10.982762
-0.01,1,10.983163
13.9,10,10.986114
1.97,3,10.987067
3.93,7,10.989158
1.97,3,10.990299
13.88,12,10.994082
5.87,13,10.997894
3.93,7,11.00031
1.97,3,11.001324
5.9,10,11.004356
3.93,7,11.006496
1.97,3,11.0076
1.97,3,11.008595
1.97,3,11.154312
1.93,7,11.156546
1.97,3,11.157526
1.97,3,11.158498
13.87,13,11.162359
3.95,5,11.163907
1.97,3,11.164878
13.89,11,11.168451
1.96,4,11.169713
5.93,7,11.171784
1.97,3,11.172755
1.97,3,11.173713
5.85,15,11.178567
5.87,13,11.182526
1.96,4,11.18405
3.95,5,11.185801
3.94,6,11.189969
3.94,6,11.193335
1.97,3,11.194427
13.89,11,11.198126
3.93,7,11.322476
1.96,4,11.324083
1.97,3,11.325142
1.97,3,11.326113
13.86,14,11.330548
-0.01,1,11.331016
1.95,5,11.332818
1.97,3,11.333836
1.97,3,11.334786
13.53,47,11.348561
1.97,3,11.349765
1.97,3,11.350848
5.6,40,11.57546
3.92,8,11.577888
1.97,3,11.578836
5.92,8,11.581178
1.97,3,11.582626
5.52,48,11.597028
5.92,8,11.599566
1.97,3,11.600517
1.97,3,11.601451
1.97,3,11.602602
1.93,7,11.604724
1.97,3,11.605672
1.96,4,11.60704
3.94,6,11.608839
3.95,5,11.610336
5.92,8,11.612897
1.97,3,11.832384
1.94,6,11.834334
1.97,3,11.835308
3.95,5,11.836843
13.91,9,11.839491
1.96,4,11.840725
1.97,3,11.84166
1.97,3,11.842607
5.93,7,11.844688
3.93,7,11.846747
3.93,7,11.848816
1.95,5,11.850331
5.67,33,11.859652
1.97,3,11.860597
1.96,4,11.861814
1.97,3,11.862745
1.97,3,11.863811
5.9,10,11.868073
1.97,3,11.870149
1.96,4,11.872576
3.93,7,12.073705
1.97,3,12.074797
3.93,7,12.07696
13.86,14,12.081289
1.97,3,12.082592
13.86,14,12.086768
1.96,4,12.087998
1.97,3,12.088954
5.87,13,12.092712
3.95,5,12.094229
3.93,7,12.096293
3.95,5,12.097798
3.95,5,12.099324
3.95,5,12.100817
1.93,7,12.103584
5.87,13,12.107933
3.95,5,12.109547
3.93,7,12.111609
13.88,12,12.207391
1.97,3,12.208422
3.92,8,12.210762
13.9,10,12.213615
1.97,3,12.214542
5.88,12,12.217934
1.96,4,12.219137
13.85,15,12.224114
1.94,6,12.22596
3.92,8,12.228269
13.89,11,12.231994
1.94,6,12.2342
1.93,7,12.236327
1.97,3,12.237266
1.97,3,12.238199
1.97,3,12.239116
3.95,5,12.240926
1.96,4,12.24232
1.94,6,12.24415
13.87,13,12.340961
1.95,5,12.342559
3.94,6,12.344395
5.9,10,12.347497
3.93,7,12.349783
-0.04,4,12.351017
13.87,13,12.354749
13.88,12,12.358157
1.97,3,12.359074
3.95,5,12.360528
1.93,7,12.362519
3.95,5,12.363981
1.97,3,12.364913
1.97,3,12.365835
1.97,3,12.366748
13.91,9,12.369305
5.93,7,12.371299
1.95,5,12.37276
5.87,13,12.463034
5.82,18,12.468265
5.79,21,12.474554
13.9,10,12.47753
3.95,5,12.47907
1.97,3,12.480019
1.96,4,12.481273
5.89,11,12.484497
3.92,8,12.486891
1.97,3,12.487826
1.97,3,12.488758
3.91,9,12.491396
1.94,6,12.493199
1.97,3,12.494139
1.94,6,12.49592
1.97,3,12.49686
1.97,3,12.497795
1.93,7,12.499848
5.91,9,12.619666
1.97,3,12.620693
1.97,3,12.621648
1.97,3,12.622624
1.95,5,12.624146
1.94,6,12.626
1.94,6,12.627805
1.97,3,12.628748
1.97,3,12.629689
5.89,11,12.632857
1.94,6,12.634642
1.97,3,12.635585
1.97,3,12.636519
3.76,24,12.643281
3.95,5,12.644769
5.91,9,12.647374
1.96,4,12.648575
1.97,3,12.649509
1.97,3,12.650429
3.95,5,12.651921
3.95,5,12.65343
5.89,11,12.853286
1.94,6,12.855338
3.95,5,12.857104
1.95,5,12.858885
5.88,12,12.862445
5.93,7,12.864537
1.96,4,12.865777
1.96,4,12.867325
1.97,3,12.868389
5.92,8,12.870759
1.97,3,12.871687
3.88,12,12.875349
13.87,13,12.879562
1.95,5,12.881223
5.93,7,12.883522
5.88,12,12.887167
5.78,22,13.011108
13.91,9,13.014038
1.94,6,13.016156
3.95,5,13.017698
5.93,7,13.020046
1.97,3,13.021079
5.91,9,13.023954
13.91,9,13.026715
1.95,5,13.028269
1.97,3,13.029209
3.93,7,13.031643
3.95,5,13.033337
3.92,8,13.035684
1.96,4,13.036875
3.95,5,13.03835
1.97,3,13.039266
1.97,3,13.040563
3.95,5,13.042215
5.89,11,13.045481
1.95,5,13.047002
1.97,3,13.047968
1.97,3,13.049017
1.95,5,13.050799
13.87,13,13.203188
5.9,10,13.207918
1.97,3,13.20932
13.91,9,13.21269
5.92,8,13.215224
1.97,3,13.216196
1.94,6,13.218037
5.91,9,13.221236
5.88,12,13.22562
1.97,3,13.226593
1.97,3,13.227509
1.97,3,13.228443
5.91,9,13.231622
5.89,11,13.235814
1.96,4,13.237172
3.95,5,13.238753
1.97,3,13.240016
1.97,3,13.24143
3.95,5,13.243319
5.92,8,13.246367
1.95,5,13.363744
1.97,3,13.36585
1.94,6,13.367904
1.96,4,13.36916
3.95,5,13.370685
1.97,3,13.371987
1.96,4,13.374431
5.93,7,13.377017
3.95,5,13.378611
1.97,3,13.37957
3.91,9,13.383181
3.95,5,13.386019
1.97,3,13.387191
13.86,14,13.39255
1.97,3,13.393663
1.97,3,13.394635
1.97,3,13.395567
1.96,4,13.396786
3.92,8,13.399144
3.95,5,13.40102
5.89,11,13.404683
1.97,3,13.405704
3.95,5,13.407548
5.76,24,13.524186
1.95,5,13.525741
3.94,6,13.527509
3.95,5,13.529305
3.58,42,13.542478
1.97,3,13.543453
1.95,5,13.544922
1.97,3,13.545837
5.89,11,13.55013
3.95,5,13.552496
1.97,3,13.553649
1.97,3,13.554642
1.94,6,13.556766
1.97,3,13.557928
1.94,6,13.560102
3.95,5,13.561701
1.97,3,13.767035
3.93,7,13.769341
3.94,6,13.771142
1.97,3,13.772072
1.94,6,13.773841
1.94,6,13.776103
3.95,5,13.777752
3.92,8,13.780483
3.91,9,13.783319
1.94,6,13.785275
5.89,11,13.788609
1.95,5,13.790239
13.85,15,13.794903
5.87,13,13.799152
1.97,3,13.800326
5.83,17,13.805256
5.89,11,13.910834
3.94,6,13.912752
1.95,5,13.914276
5.89,11,13.917812
1.94,6,13.919954
1.96,4,13.921258
1.92,8,13.923958
5.66,34,13.93437
13.87,13,13.93813
1.96,4,13.939623
1.95,5,13.941355
13.64,36,14.114505
5.92,8,14.116961
1.97,3,14.117897
1.96,4,14.119096
1.97,3,14.120027
5.89,11,14.124144
3.92,8,14.126485
1.95,5,14.127961
3.95,5,14.129427
5.93,7,14.131712
5.92,8,14.134726
1.97,3,14.135857
3.92,8,14.138246
5.9,10,14.141375
1.97,3,14.14233
3.84,16,14.146879
1.97,3,14.147807
5.92,8,14.150336
1.93,7,14.249577
