#{"t_start": 1787334052.112553, "env_id": "None"}
r,l,t
5.93,7,6.856694
3.95,5,6.858311
3.95,5,6.859918
-0.09,9,6.862741
5.92,8,6.865269
1.97,3,6.866272
3.94,6,6.868258
-0.05,5,6.869866
2.95,5,6.871438
3.95,5,6.873003
1.97,3,6.873975
3.92,8,6.998275
5.92,8,7.000901
1.97,3,7.001884
1.97,3,7.002863
-0.03,3,7.003835
1.96,4,7.005103
5.93,7,7.007592
3.91,9,7.01062
1.97,3,7.011663
3.95,5,7.013302
3.95,5,7.014943
-0.03,3,7.015946
5.93,7,7.018176
1.97,3,7.019196
3.94,6,7.021132
-0.05,5,7.022745
1.97,3,7.023757
1.97,3,7.024755
-0.02,2,7.025468
-0.04,4,7.027007
1.96,4,7.028395
3.95,5,7.030058
-0.03,3,7.03108
1.97,3,7.032086
3.93,7,7.034322
5.93,7,7.036555
1.97,3,7.037561
-0.02,2,7.038264
1.97,3,7.039265
-0.04,4,7.164516
3.95,5,7.166329
-0.19,19,7.1722
-0.02,2,7.172905
5.93,7,7.175115
1.97,3,7.17612
3.95,5,7.177721
1.97,3,7.178717
1.97,3,7.179706
1.97,3,7.180705
-0.04,4,7.181989
1.97,3,7.182978
1.97,3,7.183978
1.97,3,7.184961
3.94,6,7.186843
1.95,5,7.188439
1.97,3,7.189446
-0.04,4,7.191081
13.89,11,7.19454
1.97,3,7.195529
5.91,9,7.198276
1.97,3,7.19926
1.97,3,7.20052
1.97,3,7.201773
1.97,3,7.203021
1.97,3,7.204101
-0.02,2,7.204815
3.94,6,7.206753
1.97,3,7.416648
5.93,7,7.418947
1.97,3,7.419945
1.96,4,7.421232
-0.01,1,7.421628
-0.02,2,7.422314
-0.01,1,7.422702
-0.01,1,7.423094
1.96,4,7.424371
-0.02,2,7.425345
1.97,3,7.426484
1.97,3,7.427531
1.97,3,7.42855
1.96,4,7.42986
13.91,9,7.432679
13.91,9,7.435481
1.97,3,7.436479
3.94,6,7.438374
1.97,3,7.439378
3.95,5,7.440959
-0.03,3,7.441945
1.97,3,7.442933
5.93,7,7.445122
1.97,3,7.44619
1.97,3,7.447233
3.95,5,7.44885
1.93,7,7.451078
1.96,4,7.452366
-0.03,3,7.453355
3.95,5,7.45495
-0.02,2,7.455652
-0.02,2,7.456354
-0.04,4,7.457638
1.97,3,7.589726
3.95,5,7.591608
1.97,3,7.592678
-0.01,1,7.593109
-0.02,2,7.593824
1.95,5,7.595432
5.93,7,7.597747
1.97,3,7.598797
-0.01,1,7.599199
3.95,5,7.600811
1.96,4,7.602117
1.97,3,7.603115
5.92,8,7.605621
3.95,5,7.607221
1.96,4,7.608516
1.97,3,7.609501
5.93,7,7.611668
-0.01,1,7.612063
1.97,3,7.613053
3.95,5,7.614629
1.97,3,7.61562
3.95,5,7.617214
5.93,7,7.6194
-0.01,1,7.619788
1.97,3,7.620785
1.94,6,7.622669
3.94,6,7.624552
3.95,5,7.626139
1.97,3,7.627131
3.95,5,7.628724
1.97,3,7.629719
1.95,5,7.748863
-0.01,1,7.749404
13.89,11,7.752955
-0.02,2,7.753665
3.95,5,7.755277
1.94,6,7.757173
3.94,6,7.759069
13.91,9,7.761854
1.97,3,7.762848
1.97,3,7.763843
1.97,3,7.764838
5.93,7,7.767012
3.95,5,7.76861
1.97,3,7.769607
3.92,8,7.772087
3.95,5,7.773673
3.95,5,7.775264
1.97,3,7.776258
1.97,3,7.777249
3.93,7,7.779422
-0.01,1,7.779813
1.95,5,7.781389
5.92,8,7.783875
3.94,6,7.785746
1.96,4,7.787029
-0.01,1,7.787416
-0.02,2,7.788102
1.96,4,7.789382
1.97,3,7.929076
1.97,3,7.930285
1.96,4,7.931717
1.97,3,7.932783
-0.01,1,7.933188
1.93,7,7.935481
5.92,8,7.938061
-0.01,1,7.93889
3.95,5,7.940646
3.95,5,7.942274
13.9,10,7.945354
1.95,5,7.946958
5.92,8,7.949896
-0.02,2,7.950679
1.96,4,7.952167
1.96,4,7.953574
13.91,9,7.956439
0.97,3,7.957451
5.93,7,7.959692
1.97,3,7.96074
1.93,7,7.962978
5.9,10,7.966101
3.93,7,7.968376
5.93,7,7.970597
-0.01,1,7.970997
1.96,4,8.103675
1.97,3,8.10478
1.96,4,8.106099
-0.01,1,8.106496
-0.39,39,8.118651
1.97,3,8.119735
1.97,3,8.12075
1.97,3,8.121758
-0.02,2,8.122474
1.97,3,8.12348
1.97,3,8.124481
1.95,5,8.12609
3.95,5,8.127703
3.95,5,8.129307
3.95,5,8.13093
5.92,8,8.133453
1.97,3,8.13446
5.93,7,8.136687
3.95,5,8.138289
1.97,3,8.139296
1.97,3,8.140296
1.94,6,8.142189
1.95,5,8.143789
-0.03,3,8.452583
1.97,3,8.45374
3.93,7,8.455937
5.93,7,8.458107
-0.03,3,8.45909
1.97,3,8.460062
1.97,3,8.461041
5.92,8,8.464618
1.97,3,8.465745
1.97,3,8.466838
3.95,5,8.468529
-0.05,5,8.470222
1.96,4,8.471576
-0.01,1,8.471978
1.96,4,8.473282
1.97,3,8.474389
1.97,3,8.475649
1.94,6,8.477649
1.97,3,8.478711
3.9,10,8.48181
5.92,8,8.484311
5.88,12,8.48798
1.97,3,8.488976
5.93,7,8.491152
3.95,5,8.492732
3.94,6,8.495191
3.95,5,8.645215
1.97,3,8.646308
1.97,3,8.647311
3.93,7,8.649499
3.95,5,8.651087
1.97,3,8.652067
1.95,5,8.653798
1.94,6,8.656027
1.96,4,8.657367
1.97,3,8.658403
3.95,5,8.660056
-0.02,2,8.660786
1.97,3,8.661833
3.94,6,8.663842
3.95,5,8.665536
3.95,5,8.66738
1.97,3,8.668403
-0.04,4,8.669696
5.93,7,8.671883
-0.01,1,8.67228
1.96,4,8.673553
1.97,3,8.674537
-0.01,1,8.674927
1.97,3,8.675912
3.95,5,8.677493
3.92,8,8.679943
-0.02,2,8.680635
3.64,36,8.901699
-0.01,1,8.902156
1.96,4,8.90343
1.97,3,8.904404
3.93,7,8.906954
1.96,4,8.908371
5.91,9,8.91123
2.94,6,8.913165
3.93,7,8.915378
1.96,4,8.9167
2.86,14,8.921017
-0.01,1,8.921418
-0.25,25,8.929011
1.97,3,8.930005
3.94,6,8.9319
1.93,7,8.934087
1.97,3,8.935077
1.97,3,8.936079
1.92,8,9.169202
-0.02,2,9.169994
3.93,7,9.172224
5.93,7,9.17443
1.96,4,9.175712
5.93,7,9.177894
3.94,6,9.179775
1.97,3,9.180761
-0.05,5,9.182335
3.95,5,9.183921
-0.02,2,9.184604
3.95,5,9.186297
3.95,5,9.188064
3.95,5,9.189707
1.97,3,9.190728
4.92,8,9.193277
3.93,7,9.195532
1.96,4,9.196849
1.97,3,9.197846
1.97,3,9.198851
-0.02,2,9.199536
1.94,6,9.20142
1.94,6,9.203489
1.97,3,9.204528
1.93,7,9.206741
3.95,5,9.208358
1.97,3,9.209349
1.97,3,9.323383
-0.03,3,9.324486
1.94,6,9.326376
1.97,3,9.32736
-0.01,1,9.327746
1.97,3,9.328722
-0.03,3,9.329696
5.93,7,9.331853
1.94,6,9.334125
1.97,3,9.335205
1.97,3,9.33622
5.9,10,9.339317
1.97,3,9.340308
3.94,6,9.342194
3.94,6,9.344284
3.95,5,9.345931
5.93,7,9.348145
1.97,3,9.349144
1.94,6,9.351032
5.91,9,9.353824
3.95,5,9.35542
1.95,5,9.357009
3.91,9,9.359791
1.97,3,9.360786
1.92,8,9.363263
5.93,7,9.494817
3.93,7,9.497116
3.93,7,9.499311
1.95,5,9.500897
-0.02,2,9.501698
1.97,3,9.502848
13.9,10,9.506027
1.97,3,9.507032
1.92,8,9.509738
5.9,10,9.513077
1.96,4,9.514367
1.96,4,9.515649
3.93,7,9.517814
1.97,3,9.518815
1.95,5,9.520716
3.94,6,9.522775
1.97,3,9.523805
3.92,8,9.526391
5.92,8,9.528968
1.97,3,9.529982
13.9,10,9.533071
3.94,6,9.534968
3.95,5,9.66324
3.95,5,9.665028
3.95,5,9.666923
1.96,4,9.668386
-0.05,5,9.670005
3.95,5,9.671818
1.96,4,9.673287
5.92,8,9.675871
3.93,7,9.678101
1.97,3,9.679106
1.97,3,9.680115
5.93,7,9.682319
1.97,3,9.683313
-0.01,1,9.683707
1.96,4,9.685283
1.95,5,9.686934
5.9,10,9.689995
1.96,4,9.691258
3.95,5,9.692814
3.95,5,9.694385
1.97,3,9.695738
1.97,3,9.69679
1.97,3,9.697792
1.97,3,9.6988
3.95,5,9.700403
1.96,4,9.701696
3.95,5,9.703293
3.92,8,9.836669
1.94,6,9.838721
3.94,6,9.840655
3.94,6,9.842571
1.95,5,9.844168
-0.01,1,9.844566
3.95,5,9.846212
-0.04,4,9.84758
1.97,3,9.848613
3.95,5,9.85024
1.97,3,9.851279
1.96,4,9.852579
1.97,3,9.853586
1.97,3,9.854579
1.97,3,9.855572
13.91,9,9.858478
5.93,7,9.860918
-0.01,1,9.861333
3.95,5,9.86297
1.94,6,9.864897
1.95,5,9.866501
5.93,7,9.868755
3.95,5,9.870488
1.97,3,9.871575
-0.02,2,9.872288
5.93,7,9.874504
1.88,12,9.878181
1.97,3,10.027715
1.97,3,10.02881
3.95,5,10.030441
1.96,4,10.031758
1.97,3,10.032747
3.92,8,10.035261
1.97,3,10.036266
1.97,3,10.037257
1.97,3,10.038239
3.93,7,10.040432
1.97,3,10.041425
1.97,3,10.042412
1.97,3,10.043421
-0.03,3,10.044415
1.94,6,10.046293
0.97,3,10.047289
1.97,3,10.048278
1.97,3,10.049268
5.93,7,10.051438
-0.01,1,10.051832
1.97,3,10.052819
1.97,3,10.053805
1.97,3,10.054797
3.95,5,10.056376
1.95,5,10.057952
3.94,6,10.059837
1.97,3,10.060822
1.97,3,10.061799
3.95,5,10.063381
3.95,5,10.064983
-0.03,3,10.066151
1.96,4,10.067639
3.95,5,10.189476
13.89,11,10.194036
-0.01,1,10.194505
5.93,7,10.196743
-0.02,2,10.19744
3.93,7,10.200253
1.97,3,10.201277
1.96,4,10.202578
